Id.,Category,Definition,Author(s),Source,Year
AGISI-MI-071,MI definition,"[Machine intelligence is an] algorithm that model on the processes and environment. It is a concurrent system that can be decomposed, split, overlapped and regressed into earlier stages.","Wong, O. H. Y.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-081,MI definition,[Machine intelligence is the] ability to find a way towards a better adaptation to a context.,"Santini, G.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-086,MI definition,"[Machine intelligence is] the capability of a machine to effectively gather and use all available information, to plan in order to achieve the goal(s), to reason about the consequences of each phase of the plan in order to detect failures and success, and to gain experience that could be used in same (or similar) situations.","Cassinis, R.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-088,MI definition,"I would stop with the quest of defining Artificial intelligence and I would try to define what features Human-machine interaction should accomplish to meet users desires and requirements and improve their quality of life. To this extend I will said that what human-machine interaction has to do is: ""To implement believable, autonomous, adaptive, context-aware HCI systems able to infer how organizational, cultural and physical contexts shape individual perception, choices and actions. These Believable, Autonomous, Adaptive, Context Aware (BEINGS) systems – i.e. synthetic agents, robots, avatars—must act in real-time, sustain dyadic / group interactions and actively cooperate in discussion, decision-making, problem solving, learning / knowledge building. BEINGS must gather information and meanings in the course of everyday activity and buildknowledge and practical ability to render the world interpretable while interacting with users, attuned to behavioral sequences that underpin collaboration. Whether they are ""intelligent"" or not is left for philosophical reasoning.""","Esposito, A.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-106,MI definition,"Intelligence is the ability to devise and carry out efficient plans to achieve some objectively-defined goal (fitness, locomotion, etc.). This often includes developing effective subgoals (e.g., exercising daily in order to be in shape in order to improve reproductive fitness). These plans and goals will be constrained by the physical and mental endowments of the entity (e.g., existence of opposable thumbs, magnetic field sensors, etc.). Information processing and decision-making need not be real-time to count as intelligent: it involve (or require) amortization over the lifetime (""learning"") or over evolution. General intelligence is the ability to device and carry out a plans to efficiently achieve a wide range of (sub)goals, as described above. Given the above definition, machine intelligence is intelligence implemented by a machine. General machine intelligence is general intelligence implemented by a machine.","Hartshorne, J.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-108,MI definition,[Machine intelligence is] aspiring to be like human intelligence.,"Salmon, J.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-109,MI definition,"[Machine intelligence is] the ability to sustain and resolve inner narratives, forming tentative situated impressions and acting on them.","Goranson, T.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-111,MI definition,Machine intelligence is the ability to recognize intelligence.,"Bianchini, F.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-113,MI definition,"Human-level [Artificial Intelligence] [are] systems which demonstrate essential capabilities of human-level intelligence, such as human-level generality, and 'higher-level mentalities' such as multi-level reasoning, higher-level learning, understanding (in general and of natural language), imagination, artificial consciousness, etc. ‘Higher-level learning’ refers collectively to forms of learning required for human-level intelligence such as learning by creating explanations and testing predictions about new domains based on analogies and metaphors with previously known domains, reasoning about ways to debug and improve behaviors and methods, learning and invention of natural languages and language games, learning or inventing new representations, and in general, self-development of new ways of thinking. The phrase ‘higher-level learning’ is used to distinguish these from lower-level forms of learning investigated in previous research on machine learning. ‘Multi-level reasoning’ refers collectively to the reasoning capabilities of human-level intelligence, including meta-reasoning, analogical reasoning, causal and purposive reasoning, abduction, induction, and deduction.","Jackson, P. C.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-117,MI definition,"Machine intelligence is the engineering of machines that can form and use knowledge in a form where self motivation potentiates perception, reasoning, and action through an integrated and adaptive knowledge base that can gain abstraction with maturity and experience.","Shafei, M.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-118,MI definition,"[Machine intelligence is a] self-modifying system (software, hardware) preserving itself.","Sherwood, E.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-123,MI definition,"An intelligent machine is one capable of concurrently perceiving, reasoning / planning and acting at different hierarchical abstraction levels, so as to handle the challenges posed by environments and goals of diverse nature and complexity. Such a machine must be capable of continuous self-assessment and performance evaluation, so as to continuously adapt its behaviour and learn from experience. Machine Intelligence can be measured by the information flow rate the machine is capable to process. If human intelligence is the paradigm to be matched, the machine must be capable of becoming self-conscious and display what humans would designate as common-sense behaviours.","Lima, P. U.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-125,MI definition,Machine Intelligence applies to any kind of intelligence that is not biological in origin. Intelligence is the capacity to understand and simulate the world.,"Parra Barrero, E.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-133,MI definition,Machine Intelligence is the ability of an agent to provide rational guidance achieving an optimal outcome in the agent's defined environment.,"McNeil, P.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-135,MI definition,"A process is intelligent if it can take a system from its current state to a goal condition; the closer it takes it with the least power (energy over time), the more intelligent it is.","Naranjo, P.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-142,MI definition,"A machine is intelligent (with respect to a set of environments and goals) if it can efficiently achieve the goals in those environments. Note that in this definition, the ""goals"" are held by the analyst who is judging whether the machine is intelligent; they are not necessarily explicit components of the system. [Artificial Intelligence] as a research discipline studies methods for creating and using intelligent machines. These may range from narrow, super-human machines to broad, human-like capabilities. They may be fully autonomous or they may act as assistants to humans.","Dietterich, T.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-148,MI definition,"Machine intelligence is a machine who is capable to understand that she is intelligent and who can think about the meaning of the word ""intelligence.""","Petkov, G.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-155,MI definition,"Intelligence is the set of Object’s abilities such as: (1) Revealing laws of Environment, modeling and memorizing these laws in form of Universal scheme of evolution (USE), (2) Object’s future behavior (anticipatory reflection) modeling by means model of laws of Environment, and (3) Adaptation of Object’s behavior (actions) to the real conditions of the Surrounding - upon condition of maximizing the ratio ""Object’s Actions / Costs for Object’s Actions"" - for the purpose of Object’s preservation (being, existence, survival) in the Surrounding. Universal scheme of evolution (USE) is a graphic representation of object's transition from low level of survival (object with problems) to higher level of survival (object without problems) on the base of natural, universal and objective laws of evolution.","Zakharov, A.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-161,MI definition,"The goal of automation is to exhibit behaviors that humans exhibit, but exceeding human capacity in some way (for example, speed, stamina, strength, quality of results, energy consumption). Machine intelligence is an umbrella covering a set of research topics into methods that extend the set of behaviors that humans exhibit but machines currently don't. When specific methods and fields mature, they are typically given their own name and no longer called Machine Intelligence (for example Neural Networks, Bayesian Systems, Deep Learning, Autonomous Vehicles).","Needham, B. H.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-165,MI definition,"Machine intelligence is the ability of artificial agent to extend, replace, surpass the human or non-human ability in a specific domain area.","Wang, Y.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-166,MI definition,"Machine intelligence is the ability of a machine, to act and behave as the definition of an intelligent being given by humans, this is wide: to learn, to reason, to solve cognitive stuff, to communicate, to remember, to foresee, to behave in a certain way, all attributes that make us tell that something is intelligent.","Hohendahl, A.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-170,MI definition,"Machine intelligence is behavior in machines we'd describe as intelligence if performed by humans, and it's one of the two main goals of the discipline of artificial intelligence: to understand the principles of intelligence as observed in humans, and to explore and validate those principles by recreating them into useful artifacts.","Francis, A.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-175,MI definition,"A system that qualifies as intelligent should be able to solve tasks its designers did not foresee. For these tasks to be interesting, they cannot be limited in sophistication. This necessarily requires (virtually) open-ended learning capabilities. Perhaps ""intelligence"" is to broad and vague to be definable in a meaningful way. Perhaps a better way forward is to break it into separate concepts that we can define rigorously and make measurable progress on. One such concept may be something like open-ended learning capabilities.","Piater, J.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-177,MI definition,"Machine intelligence is a set of properties whereby an artificial agent achieves autonomy, adaptation, real-time decision making and action.","Soria Frisch, A.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-180,MI definition,"Machine intelligence is intelligence of machine. Machine in this context, is a constructed part of nature, and therefore has a constructor. If human is constructor, then machine has human constructor. Intelligence is information instance, quality, action, or result. Machine intelligence is therefore ""instance, quality, action, or result of constructed part of natural information.""","Zamuda, A.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-185,MI definition,"Artificial Intelligence is the ability of machines to perceive, understand, and act within any environment through applied knowledge and reasoning.","Hinds, J.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-187,MI definition,"Machine intelligence is the realization of (at least) human-level cognitive capabilities in machines. Targeted [Artificial Intelligence] systems may exhibit just some of these capabilities, often in specialized domains, while strong [Artificial Intelligence] systems will exhibit the full range of human-like understanding of perceptual or linguistic inputs, learning (acquisition of concepts, skills, and knowledge, including self-knowledge), commonsense reasoning, planning and acting in pursuit of utility or goals, and linguistic communication and collaboration.","Schubert, L. K.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-199,MI definition,"Artificial Intelligence or ""Machine Intelligence"" is the science and engineering practice concerned with the construction of intelligent machines. An ""intelligent machine"" is defined as a machine which is successful in achieving its goals with respect to a specific environmental / ecological niche.","Golden, R.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-204,MI definition,"Intelligence includes capabilities such as inference, planning, and learning. [...] Any definition of intelligence should not be in reference to humans and what might be called human intelligence. [...] Humans are a type of machine with a particular biological implementation as the result of an evolutionary process.","Albrecht, S. V.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-205,MI definition,"Intelligence is one of the most emblematic notions in cognition. Cognition is a faculty that allows a real-world system, a cognitive agent, to deliver pertinent output information in a domain, most often as a function of some input information it receives. Especially when the output information is not a priori available in store. ""Machine"" refers to the nature of the cognitive agent, the real-world system, the implementation medium, the infrastructure; typically viewed as an alternative to human body. ""Intelligence"" is the ability to learn. Quantitatively it can be estimated as the derivative of expertise versus experience. Learning is the process of increasing expertise. Expertise is the capability ""to do right and fast.""","Dessimoz, J.-D.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-206,MI definition,Intelligence is the ability to use information to accomplish goals.,"Burson, S. L.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-209,MI definition,"Intelligence is the capacity for autonomous, goal-directed, adaptive behavior using structures specialized for this purpose [this is included to rule out plants, crystals, or other systems that adapt by growth processes only], where adaptive means tending toward maintaining system integrity within an environment that is ultimately entropic.","Livingston, K.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-211,MI definition,"Intelligence measures the extent to which an agent can perceive, interpret, reason, plan, communicate, and act, in order to carry out its goals within its environment. [Artificial Intelligence] is the study of the computations that enable intelligent behavior, as well as the study of how to improve the intelligence of machines so that they can provide safe, ethical, and unbiased guidance and service to humans.","Allen, C.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-212,MI definition,"Machine intelligence is the ability to act under bounded resources to perceive environment, reason and take actions to achieve goals while interacting with other agents in the world.","Srivastava, B.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-217,MI definition,"Machine intelligence is intelligence implemented on a machine. The difficult part is defining intelligence. In my opinion, intelligence is the ability to set your own goals and finding ways to achieve them.","Kandylas, V.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-220,MI definition,"Machine intelligence is the ability to receive sensory inputs, abstract them into concepts, reason and communicate in conceptual language, and pursue goals by means of motor outputs based on a combination of emotion and conceptual thinking.","Murray, A. T.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-221,MI definition,[Machine intelligence is] the process by which humans endow the machines with a decision power from different variables.,"Canet Trius, J.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-222,MI definition,"In a given environmental situation, the intelligence of a system is its capability to identify a behavior that optimizes its purpose. Intelligence level is measured by the diversity of situations and the complexity and correctness of the derived behaviors. Intuitively, the quest for Artificial Intelligence is not limited to intelligence but aims to build systems that are perceived as conscious.","Tardy, J. E.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-230,MI definition,"The most primitive cognitive machine component is a switch that changes state in response to an external stimulus. Intelligence increases with the increasing scale of switching networks, range of sensors that can elicit responses, and complexity of effective responses for minimal generative foundations. effectiveness can be understood by analogy to human rationality, but we must not be closed to the possibility of machines reaching levels of intelligence, and reason, beyond human grasp. Machine intelligence should not be understood as needing to be localised to any specific machine. A coherent intelligent process might be distributed across a broad computational foundation. It might also be implemented in biochemistry, which may stretch the definition of a machine.","Lindley, C.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-232,MI definition,"[Machine intelligence is] [Artificial Intelligence]. Intelligence is the ability to do the right thing at the right time given a dynamic environment (that is, a shifting landscape of ""right times"" requiring more ""right things""). [Artificial Intelligence] is intelligence constructed deliberately as an artefact of a culture.","Bryson, J.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-233,MI definition,"Given the circumstances and the goal, an intelligent entity does the right thing.","Nikolic, D.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-236,MI definition,[Machine intelligence are] machines [that] are able to do what humans do.,"Buehrer, D.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-239,MI definition,"Artificial Intelligence is the study to reach higher levels of intelligence with computations. Intelligence is the ability to reason about different unknown situations, plan possible solutions across a broad range of domains, with multiple complex dimensions, learning from success and failures of oneself or others, adapting new strategies and explaining and optimizing those strategies. Higher levels of intelligence are determined by a higher success rate to learn, reason or solve problems with less prior knowledge, less resources and time needed for the solution and a the ability to process more input and output dimensions (social, physical, ....). Something along: sense -> reason -> plan -> act-> learn -> knowledge -> adapt -> teach with a high intelligence needed for an increasing number of dimensions, less prior knowledge and shortcuts along that process.","Burka, F.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-240,MI definition,"Machine intelligence is the ability to perceive the environment, learn from experience, anticipate the outcome of events, act to pursue goals, and adapt to changing circumstances.","Vernon, D.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-243,MI definition,[Machine intelligence are] algorithms which can make reasonable decisions in the presence of noisy and partial data outside the bounds of previous experience. By reasonably I mean not necessarily optimal but not irretrievably wrong.,"Thompson, K.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-244,MI definition,"Intelligence can be measured based on three incremental abilities: the ability to learn, the ability to predict, and the ability to control (or act). These are necessary but not sufficient to describe intelligent systems and their degree of aptitude for these three abilities can vary. Learning must come before prediction, and prediction will likely come before control. Interestingly, as control improves the cost of prediction and learning diminish.","Jeanson, F.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-246,MI definition,[Machine intelligence is] just a perspective matching machines and humans in functional level.,"Morita, J.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-254,MI definition,"[Machine intelligence is] the ability of an app to learn and execute capability to perceive, and make appropriate decisions by reasoning based on evaluation of numerous data feeds.","Hansen, K.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-256,MI definition,[Machine intelligence is] the mastery of a knowledge domain at the defined expert human level and above.,"Clark, D.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-258,MI definition,[Machine intelligence are] machines functioning in situations in ways similar to the behavior expected of intelligent humans.,"Fox, E. A.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-259,MI definition,"The concept of intelligence is derived from the capabilities of animals, and humans in particular. Intelligence, then, would be the ability to carry out the evolutionary purpose of the brain, which is to maintain the ongoing well being of an organism, through reproduction and rearing, by changing the configuration of its body and the environment, given little or no a priori information and only limited sensory information about itself and the environment. The wider the range of circumstances under which the organism can maintain ongoing well being and reproductive success, the more intelligent it is. This broad definition requires decomposition to provide guidance on how to develop or measure intelligent systems.","Peck, C.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-264,MI definition,"[Machine intelligence is] making systems efficient enough to tackle complex and sophisticated decision making on a human level of quality or above; and this quality is sufficient for at least augmenting humans in their decision making, or even automating some pieces of the decision making process. Thus, I would even rebrand [Artificial Intelligence] as ""Augmented Intelligence"".","Natekin, A.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-266,MI definition,Intelligence: Capability of a system to generate recollections and predictions of relationships and behaviors to best self-adapt to and maintain balance with its inner and outer environments.,"García, G.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-275,MI definition,"Machine Intelligence is a science and a set of computational technologies that are inspired by —but typically operate quite differently from— the ways people use their nervous systems and bodies to sense, learn, reason, and take action.","Stone, P.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-279,MI definition,[Machine intelligence is] autonomous problem solving.,"Morales Luna, G.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-283,MI definition,"A system is intelligent if and only if it has the capacity to reach some desired configurations of the organization of its parts, while responding to the inputs from different environments with consistent goal oriented behaviors.","Calvi, G.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-284,MI definition,Human level machine intelligence would be the characteristics / behavior of the machine that in humans would be considered intelligent. A super-human intelligence in a machine would be a generalisation of the human level artificial intelligence.,"Dodig-Crnkovic, G.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-289,MI definition,Machine demonstrates Machine Intelligence if its output quality (measured by some objective function) changes and improves over time as more data / experience / input is available to them.,"Shatkay, H.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-293,MI definition,Artificial intelligence is] human intelligence artificially generated.,"Goffi, E.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-298,MI definition,"Intelligence is a quality of an agent's mental behavior (usually expressed externally by resulting observable activity). It is the quality of being able to develop ways to approach a wide variety of different circumstances in order to bring about the agent's (given or self-generated) goals. An agent that can: approach more different kinds of circumstances; dynamically re-develop new ways when old ones are blocked; and compare them to seek ways that use up as few / little as possible of the agent's resources, is considered 'more intelligent' than one that cannot do so. Machine (or 'artificial', not a good word) intelligence is the phrase used when the agent is a constructed artifact, in today's world a computer.","Hovy, E.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-308,MI definition,"Intelligence is the ability to generate and effectively pursue goals consistent with the broader objective to preserve the existence and well functioning of oneself and of other present agents (humans, animals and other machines).","Mussa-Ivaldi, S.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-309,MI definition,"Ability to adapt to a varied range of tasks, as well having an intrinsic mechanism to try and improve this adaptive ability, thus not only leading to good performance over the range of tasks, but to perpetually changing behavior in order to further improve performance on each task encountered.","Oliehoek, F.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-311,MI definition,"Artificial intelligence is a machine’s ability to alter or modify its action or reaction in a manner other than a prefixed formula. If a unit of machine intelligence is defined as single input-output loop linked by an action, where an input and an output are internal or external physical or information states. Then artificial intelligence is the machine’s ability to create, arrange and concatenate said unites to achieve goals in a non-prefixed manner; based on learning, deduction, simulation or other adaptive techniques. Evaluation of artificial intelligence should tolerate different levels of efficiency, and should favor the decision making ability rather than the satisfaction of the final goal.","Hassan, M.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-312,MI definition,"[Machine intelligence is] the ability to generate de novo, plausible (differential) causal hypotheses (why this rather than that), and to make useful judgments about the relative virtues of any two states of the world.","Hunter, L.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-316,MI definition,[Machine intelligence is] to give machines the ability to create solutions in the real world.,"Talia, D.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-335,MI definition,A machine is intelligent if it performs better than expected in a given context.,"Swarup, S.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-339,MI definition,"[Machine intelligence is a] means for modeling oneself, others, and our environment and means for generating behaviors that improve outcomes attained over time, with experience, and as a result of more accurate predictions enabled by those models.","Roth, R.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-342,MI definition,"[Machine intelligence is] the study of algorithms that allow agents to develope optimal behaivor, as defined by humans, over time and exposure to the enviroment / data.","King, P.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-347,MI definition,"[Machine intelligence is] a machine that can, in real time, with limited information and modest energy cost, make the right decision at the right time, most of the time.","Winfield, A.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-353,MI definition,"Intelligence is the ability of an agent of developing models of reality that are used to predict behaviour of the changing environment. The quality of these models, and thus of intelligence, are based on memorization, learning, and elaboration abilities.","Clemente, F.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-355,MI definition,"[Machine intelligence is] the capacity of being efficient, without the flaws of emotions; also the capability of being empathetic with any kind of being as part of a system.","López Pineda, R.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-361,MI definition,[Machine intelligence is a] technology that mimics human intelligence.,"Vircikova, M.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-362,MI definition,"Intelligence is the ability to forecast future states of a certain environment, as well as estimating their desirability in accordance with a certain set of goals. The environment includes the agent itself, and the actions it might take. General human goals are dictated by evolution, and this might not be the case in machine intelligence. Intelligence can be measured by the complexity of environment + goals that an agent can successfully operate in.","Menezes, T.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-373,MI definition,"[Machine intelligence is] an entity (whether digital, biological, or a mix) which has been designed, or has evolved, to model and inform, and possibly also act on certain parts of the world, in useful ways - either useful to itself or to its creators / humans. The usefulness need not be human-like, or be applied to domains of thinking and pattern finding in which we are involved only. As a corollary of the last point, 'machine intelligence' need not be a strict subset, or even a superset, of human intelligence. It may or may not have overlap with the space of capabilities which we might label 'human intelligence'. There are, as such, different degrees of machine intelligence (and human intelligence) that are possible.","Dinov, M.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
