Id.,Category,Definition,Author(s),Source,Year
C0011,Collective definition,"“[Intelligence is] the ability to learn or understand or to deal with new or trying situations ""[Intelligence is] the skilled use of reason (2) : the ability to apply knowledge to manipulate
one’s environment or to think abstractly as measured by objective criteria (as tests)”“[Intelligence is] the ability to learn or understand or to deal with new or trying situations ""[Intelligence is] the skilled use of reason (2) : the ability to apply knowledge to manipulate
one’s environment or to think abstractly as measured by objective criteria (as tests)”“[Intelligence is] the ability to learn or understand or to deal with new or trying situations ""[Intelligence is] the skilled use of reason (2) : the ability to apply knowledge to manipulate
one’s environment or to think abstractly as measured by objective criteria (as tests)”“[Intelligence is] the ability to learn or understand or to deal with new or trying situations ""[Intelligence is] the skilled use of reason (2) : the ability to apply knowledge to manipulate
one’s environment or to think abstractly as measured by objective criteria (as tests)”“[Intelligence is] the ability to learn or understand or to deal with new or trying situations ""[Intelligence is] the skilled use of reason (2) : the ability to apply knowledge to manipulate
one’s environment or to think abstractly as measured by objective criteria (as tests)”",-,"Merriam-Webster Online Dictionary, 2006",2006
C0012,Collective definition,“[Intelligence is] the ability to acquire and apply knowledge and skills.”,-,"Compact Oxford English Dictionary, 2006",2006
C0013,Collective definition,“[Intelligence is] the ability to adapt to the environment.”,-,"World Book Encyclopedia, 2006",2006
C0014,Collective definition,"“Intelligence is a property of mind that encompasses many related mental abilities, such as the capacities to reason, plan, solve problems, think abstractly, comprehend ideas and language, and learn.”",-,"Wikipedia, 4 October, 2006",2006
C0015,Collective definition,"“[Intelligence is a] capacity of mind, especially to understand principles, truths, facts or meanings, acquire knowledge, and apply it to practise; the ability to learn and comprehend.”",-,"Wiktionary, 4 October, 2006",2006
C0016,Collective definition,“[Intelligence is] the ability to learn and understand or to deal with problems.”,-,"Word Central Student Dictionary, 2006",2006
C0017,Collective definition,“[Intelligence is] the ability to comprehend; to understand and profit from experience.”,-,"Wordnet 2.1, 2006",2006
C0018,Collective definition,"“[Intelligence is] the capacity to learn, reason, and understand.”",-,"Wordsmyth Dictionary, 2006",2006
P0001,Psychologist definition,"“Intelligence is not a single, unitary ability, but rather a composite of several functions. The term denotes that combination of abilities required for survival and advancement within a particular culture.”","Anastasi, A.","A. Anastasi. What counselors should know about the use and interpretation of psychological tests. Journal of Counseling and Development, 70(5):610–615, 1992.",1992
P0002,Psychologist definition,"“[Intelligence is] that facet of mind underlying our capacity to think, to solve novel problems, to reason and to have knowledge of the world.”","Anderson, M.","M. Anderson. Intelligence. MS Encarta online encyclopedia, 2006.",2006
P0003,Psychologist definition,"“It seems to us that in intelligence there is a fundamental faculty, the alteration or the lack of which, is of the utmost importance for practical life. This faculty is judgement, otherwise called good sense, practical sense, initiative, the faculty of adapting ones self to circumstances.”","Binet, A.","A. Binet and T. Simon. Methodes nouvelles por le diagnostic du niveai intellectuel des anormaux. L’Ann´ee Psychologique, 11:191–244, 1905.",1905
P0004,Psychologist definition,“We shall use the term ‘intelligence’ to mean the ability of an organism to solve new problems . . . ”,"Bingham, W. V.","W. V. Bingham. Aptitudes and aptitude testing. Harper & Brothers, New York, 1937.",1937
P0005,Psychologist definition,“Intelligence is what is measured by intelligence tests.”,"Boring, E.","E. G. Boring. Intelligence as the tests test it. New Republic, 35:35–37, 1923.",1923
P0006,Psychologist definition,"“[Intelligence is] a quality that is intellectual and not emotional or moral: in measuring it we try to rule out the effects of the child’s zeal, interest, industry, and the like. Secondly, it denotes a general capacity, a capacity that enters into everything the child says or does or thinks; any want of ’intelligence’ will therefore be revealed to some degree in almost all that he attempts;”","Burt, C. L.","C. L. Burt. The causes and treatments of backwardness. University of London press, 1957.",1957
P0007,Psychologist definition,"“A person possesses intelligence insofar as he has learned, or can learn, to adjust himself to his environment.”","Colvin, S. S.","(Quoted in) R. J. Sternberg, editor. Handbook of Intelligence. Cambridge University Press, 2000.",2000
P0008,Psychologist definition,“[Intelligence is] the ability to plan and structure one’s behavior with an end in view.”,"Das, J. P.",-,-
P0009,Psychologist definition,“[Intelligence is] the capacity to learn or to profit by experience.”,"Dearborn, W. F.","(Quoted in) R. J. Sternberg, editor. Handbook of Intelligence. Cambridge University Press, 2000.",2000
P0010,Psychologist definition,"“. . . in its lowest terms intelligence is present where the individual animal, or human being, is aware, however dimly, of the relevance of his behaviour to an objective. Many definitions of what is indefinable have been attempted by psychologists, of which the least unsatisfactory are 1. the capacity to meet novel situations, or to learn to do so, by new adaptive responses and 2. the ability to perform tests or tasks, involving the grasping of relationships, the degree of intelligence being proportional to the complexity, or the abstractness, or both, of the relationship.”","Drever, J.","J. Drever. A dictionary of psychology. Penguin Books, Harmondsworth, 1952.",1952
P0011,Psychologist definition,"“Intelligence A: the biological substrate of mental ability, the brains’ neuroanatomy and physiology; Intelligence B: the manifestation of intelligence A, and everything that influences its expression in real life behavior; Intelligence C: the level of performance on psychometric tests of cognitive ability.”","Eysenck, H. J.",-,-
P0012,Psychologist definition,"“[Intelligence is a] sensory capacity, capacity for perceptual recognition, quickness, range or flexibility or association, facility and imagination, span of attention, quickness or alertness in response.”","Freeman, F. N.","(Quoted in) R. J. Sternberg, editor. Handbook of Intelligence. Cambridge University Press, 2000.",2000
P0013,Psychologist definition,"“[Intelligence is the] adjustment or adaptation of the individual to his total environment, or limited aspects thereof . . . the capacity to reorganize one’s behavior patterns so as to act more effectively and more appropriately in novel situations . . . the ability to learn . . . the extent to which a person is educable . . . the ability to carry on abstract thinking . . . the effective use of concepts and symbols in dealing with a problem to be solved . . . ”","Freeman, W.",-,-
P0014,Psychologist definition,"“An intelligence is the ability to solve problems, or to create products, that are valued within one or more cultural settings.”","Gardner, H.","H. Gardner. Frames of Mind: Theory of multiple intelligences. Fontana Press, 1993.",1993
P0015,Psychologist definition,“[Intelligence is] performing an operation on a specific type of content to produce a particular product.”,"Guilford, J. P.",-,-
P0016,Psychologist definition,"“[Intelligence is] sensation, perception, association, memory, imagination, discrimination, judgement and reasoning.”","Haggerty, N. E.","(Quoted in) R. J. Sternberg, editor. Handbook of Intelligence. Cambridge University Press, 2000.",2000
P0017,Psychologist definition,"“[Intelligence is] the capacity for knowledge, and knowledge possessed.”","Henmon, V. A. C.","V. A. C. Henmon. The measurement of intelligence. School and Society, 13:151–158, 1921.",1921
P0018,Psychologist definition,“[Intelligence is] cognitive ability.”,"Herrnstein, R. J. and Murray, C.","R. J. Herrnstein and C. Murray. The Bell Curve: Intelligence and Class Structure in American Life. Free Press, 1996.",1996
P0019,Psychologist definition,"“[Intelligence is] the resultant of the process of acquiring, storing in memory, retrieving, combining, comparing, and using in new contexts information and conceptual skills.”",Humphreys,-,-
P0020,Psychologist definition,"“Intelligence is the ability to learn, exercise judgment, and be imaginative.”","Huarte, J.",-,-
P0021,Psychologist definition,“Intelligence is a general factor that runs through all types of performance.”,"Jensen, A.",-,-
P0022,Psychologist definition,"“Intelligence is assimilation to the extent that it incorporates all the given data of experience within its framework . . .There can be no doubt either, that mental life is also accommodation to the environment. Assimilation can never be pure because by incorporating new elements into its earlier schemata the intelligence constantly modifies the latter in order to adjust them to new elements.”","Piaget, J.","J. Piaget. The psychology of intelligence. Routledge, New York, 1963.",1963
P0023,Psychologist definition,“[Intelligence is the] ability to adapt oneself adequately to relatively new situations in life.”,"Pinter, R.","(Quoted in) R. J. Sternberg, editor. Handbook of Intelligence. Cambridge University Press, 2000.",2000
P0024,Psychologist definition,“[Intelligence is a] biological mechanism by which the effects of a complexity of stimuli are brought together and given a somewhat unified effect in behavior.”,"Peterson, J.","(Quoted in) R. J. Sternberg, editor. Handbook of Intelligence. Cambridge University Press, 2000.",2000
P0025,Psychologist definition,"“[Intelligence is a] certain set of cognitive capacities that enable an individual to adapt and thrive in any given environment they find themselves in, and those cognitive capacities include things like memory and retrieval, and problem solving and so forth. There’s a cluster of cognitive abilities that lead to successful adaptation to a wide range of environments.”","Simonton, D. K.","D. K. Simonton. An interview with Dr. Simonton. In J. A. Plucker, editor, Human intelligence: Historical influences, current controversies, teaching resources. http://www.indiana.edu/~intell, 2003.",2003
P0026,Psychologist definition,“Intelligence is part of the internal environment that shows through at the interface between person and external environment as a function of cognitive task demands.”,"Snow, R. E.","(Quoted in) J. Slatter. Assessment of children: Cognitive applications. Jermone M. Satler Publisher Inc., San Diego, 4th edition, 2001.",2001
P0027,Psychologist definition,"“. . . I prefer to refer to it as ‘successful intelligence.’ And the reason is that the emphasis is on the use of your intelligence to achieve success in your life. So I define it as your skill in achieving whatever it is you want to attain in your life within your sociocultural context — meaning that people have different goals for themselves, and for some it’s to get very good grades in school and to do well on tests, and for others it might be to become a very good basketball player or actress or musician.”","Sternberg, R. J.","R. J. Sternberg. An interview with Dr. Sternberg. In J. A. Plucker, editor, Human intelligence: Historical influences, current controversies, teaching resources. http://www.indiana.edu/~intell, 2003.",2003
P0028,Psychologist definition,"“[Intelligence is] the ability to undertake activities that are characterized by (1) difficulty, (2) complexity, (3) abstractness, (4) economy, (5) adaptedness to goal, (6) social value, and (7) the emergence of originals, and to maintain such activities under conditions that demand a concentration of energy and a resistance to emotional forces.”",Stoddard,-,-
P0029,Psychologist definition,“[Intelligence is] the ability to carry on abstract thinking.”,"Terman, L. M.","(Quoted in) R. J. Sternberg, editor. Handbook of Intelligence. Cambridge University Press, 2000.",2000
P0030,Psychologist definition,"“Intelligence, considered as a mental trait, is the capacity to make impulses focal at their early, unfinished stage of formation. Intelligence is therefore the capacity for abstraction, which is an inhibitory process.”","Thurstone, L. L.","L. L. Thurstone. The nature of intelligence. Routledge, London, 1924.",1924
P0031,Psychologist definition,"“[Intelligence is] the capacity to inhibit an instinctive adjustment, the capacity to redefine the inhibited instinctive adjustment in the light of imaginally experienced trial and error, and the capacity to realise the modified instinctive adjustment in overt behavior to the advantage of the individual as a social animal.”","Thurstone, L. L.","(Quoted in) R. J. Sternberg, editor. Handbook of Intelligence. Cambridge University Press, 2000.",2000
P0032,Psychologist definition,"“[Intelligence is a] global concept that involves an individual’s ability to act purposefully, think rationally, and deal effectively with the environment.”","Wechsler, D.","D. Wechsler. The measurement and appraisal of adult intelligence. Williams & Wilkinds, Baltimore, 4 edition, 1958.",1958
P0033,Psychologist definition,“[Intelligence is] the capacity to acquire capacity.”,"Woodrow, H.","(Quoted in) R. J. Sternberg, editor. Handbook of Intelligence. Cambridge University Press, 2000.",2000
P0034,Psychologist definition,"“. . . the term intelligence designates a complexly interrelated assemblage of functions, no one of which is completely or accurately known in man . . . ”","Yerkes, R. M. and Yerkes, A. W.","R. M. Yerkes and A. W. Yerkes. The great apes: A study of anthropoid life. Yale University Press, New Haven, 1929.",1929
P0035,Psychologist definition,“[Intelligence is] that faculty of mind by which order is perceived in a situation previously considered disordered.”,"Young, R. W.","(Quoted in) R. Kurzweil. The age of spiritual machines: When computers exceed human intelligence. Penguin, 2000.",2000
A0001,AI researcher definition,"“[Intelligence is] the ability of a system to act appropriately in an uncertain environment, where appropriate action is that which increases the probability of success, and success is the achievement of behavioral subgoals that support the system’s ultimate goal.”","Albus, J. S.","J. S. Albus. Outline for a theory of intelligence. IEEE Trans. Systems, Man and Cybernetics, 21(3):473–509, 1991.",1991
A0002,AI researcher definition,“Any system . . . that generates adaptive behaviour to meet goals in a range of environments can be said to [possess intelligence].”,"Fogel, D.","D. B. Fogel. Review of computational intelligence: Imitating life. Proc. of the IEEE, 83(11), 1995.",1995
A0003,AI researcher definition,“[Intelligence is] achieving complex goals in complex environments”,"Goertzel, B.","B. Goertzel. The Hidden Pattern. Brown Walker Press, 2006.",2006
A0004,AI researcher definition,"“Intelligent systems are expected to work, and work well, in many different environments. Their property of intelligence allows them to maximize the probability of success even if full knowledge of the situation is not available. Functioning of intelligent systems cannot be considered separately from the environment and the concrete situation including the goal.”","Gudwin, R. R.","R. R. Gudwin. Evaluating intelligence: A computational semiotics perspective. In IEEE International conference on systems, man and cybernetics, pages 2080–2085, Nashville, Tenessee, USA, 2000.",2000
A0005,AI researcher definition,"“[Performance intelligence is] the successful (i.e., goal-achieving) performance of the system in a complicated environment.”","Horst, J. A.","J. Horst. A native intelligence metric for artificial systems. In Performance Metrics for Intelligent Systems Workshop, Gaithersburg, MD, USA, 2002.",2002
A0006,AI researcher definition,“Intelligence is the ability to use optimally limited resources – including time – to achieve goals.”,"Kurzweil, R.","R. Kurzweil. The age of spiritual machines: When computers exceed human intelligence. Penguin, 2000.",2000
A0007,AI researcher definition,“Intelligence is the power to rapidly find an adequate solution in what appears a priori (to observers) to be an immense search space.”,"Lenat, D. and Feigenbaum, E.","D. Lenat and E. Feigenbaum. On the thresholds of knowledge. Artificial Intelligence, 47:185–250, 1991.",1991
A0008,AI researcher definition,“Intelligence measures an agent’s ability to achieve goals in a wide range of environments.”,"Legg,S. and Hutter, M.","S. Legg and M. Hutter. A formal measure of machine intelligence. In Proc. 15th Annual Machine Learning Conference of Belgium and The Netherlands (Benelearn’06), pages 73–80, Ghent, 2006.",2006
A0009,AI researcher definition,“. . . doing well at a broad range of tasks is an empirical definition of ‘intelligence’ ”,"Masum, H.","H. Masum, S. Christensen, and F. Oppacher. The Turing ratio: Metrics for open-ended tasks. In GECCO 2002: Proceedings of the Genetic and Evolutionary Computation Conference, pages 973–980, New York, 2002. Morgan Kaufmann Publishers.",2002
A0010,AI researcher definition,"“Intelligence is the computational part of the ability to achieve goals in the world. Varying kinds and degrees of intelligence occur in people, many animals and some machines.”","McCarthy, J.","J. McCarthy. What is artificial intelligence? www-formal.stanford.edu/jmc/whatisai/whatisai.html, 2004.",2004
A0011,AI researcher definition,“[Intelligence is] the ability to solve hard problems.”,"Minsky, M.","M. Minsky. The Society of Mind. Simon and Schuster, New York, 1985.",1985
A0012,AI researcher definition,“Intelligence is the ability to process information properly in a complex environment. The criteria of properness are not predefined and hence not available beforehand. They are acquired as a result of the information processing.”,"Nakashima, H.","H. Nakashima. AI as complex information processing. Minds and machines, 9:57–80, 1999.",1999
A0013,AI researcher definition,"“[Intelligence is when] in any real situation behavior appropriate to the ends of the system and adaptive to the demands of the environment can occur, within some limits of speed and complexity.”","Newell, A. and Simon, H. A.","A. Newell and H. A. Simon. Computer science as empirical enquiry: Symbols and search. Communications of the ACM 19, 3:113–126, 1976.",1976
A0014,AI researcher definition,"“[An intelligent agent does what] is appropriate for its circumstances and its goal, it is flexible to changing environments and changing goals, it learns from experience, and it makes appropriate choices given perceptual limitations and finite computation.”","Poole, D.","D. Poole, A. Mackworth, and R. Goebel. Computational Intelligence: A logical approach. Oxford University Press, New York, NY, USA, 1998.",1998
A0015,AI researcher definition,“Intelligence means getting better over time.”,"Schank, R.","R. Schank. Where’s the AI? AI magazine, 12(4):38–49, 1991.",1991
A0016,AI researcher definition,“Intelligence is the ability for an information processing system to adapt to its environment with insufficient knowledge and resources.”,"Wang, P.","P. Wang. On the working definition of intelligence. Technical Report 94, Center for Research on Concepts and Cognition, Indiana University, 1995.",1995
A0017,AI researcher definition,“[Intelligence is] the mental ability to sustain successful life.”,"Warwick, K.","(Quoted in) A. Asohan. Leading humanity forward. The Star, October 14, 2003.",2003
A0018,AI researcher definition,"“[Intelligence is] the essential, domain-independent skills necessary for acquiring a wide range of domain-specific knowledge – the ability to learn anything. Achieving this with ‘artificial general intelligence’ (AGI) requires a highly adaptive, general-purpose system that can autonomously acquire an extremely wide range of specific knowledge and skills and can improve its own cognitive ability through self-directed learning.”","Voss, P.","P. Voss. Essentials of general intelligence: The direct path to AGI. In B. Goertzel and C. Pennachin, editors, Artificial General Intelligence. Springer-Verlag, 2005.",2005
